"","Vial","SlopeShift","ID"
"79",39,-1.92935,"20-196_WOOD1-C-5"
"80",40,-3.41985,"standard_EV"
"81",1,0.808,"standard_EV"
"82",2,0.2195,"standard_PZ"
"83",3,-0.335599999999999,"standard_UT2"
"84",4,0,"standard_EV"
"85",5,-0.0131000000000014,"20-196_UNDE1-2030-2"
"86",6,0.0241499999999988,"20-196_UNDE1-deep-1"
"87",7,-0.00735000000000241,"20-196_UNDE1-010-1"
"88",8,-0.417349999999999,"20-196_UNDE1-010-3"
"89",9,-0.181850000000001,"20-196_UNDE1-1020-1"
"90",10,-0.206099999999999,"20-196_UNDE1-1020-2"
"91",11,0.132150000000003,"20-196_SCBI-2030-1"
"92",12,-0.305350000000001,"20-196_SCBI1-010-3"
"93",13,-0.245100000000001,"standard_EV"
"94",14,-0.233350000000002,"20-196_SCBI1-010-1"
"95",15,-0.182600000000001,"20-196_UNDE1-010-2"
"96",16,-0.361599999999999,"20-196_SCBI1-A-5"
"97",17,-0.4756,"20-196_SCBI1-C-1"
"98",18,-0.183349999999997,"20-196_SCBI1-A-3"
"99",19,-18.60985,"20-196_SCBI1-A-2"
"100",20,-0.740349999999999,"20-196_SCBI1-D-2"
"101",21,-0.5136,"20-196_SCBI1-A-1"
"102",22,-0.18985,"standard_EV"
"103",23,-1.48985,"20-196_SCBI1-D-3"
"104",24,-0.415099999999999,"20-196_SCBI1-B-2"
"105",25,-0.53435,"20-196_SCBI1-C-5"
"106",26,-0.447099999999999,"20-196_SCBI-3040-3"
"107",27,-0.462350000000001,"20-196_SCBI1-1020-1"
"108",28,-0.407350000000001,"20-196_SCBI1-deep-1"
"109",29,-0.44585,"20-196_SCBI1-2030-2"
"110",30,-19.14985,"20-196_SCBI1-B-5"
"111",31,-0.267600000000002,"standard_EV"
"112",32,-0.681850000000001,"20-196_SCBI1-C-4"
"113",33,-0.68835,"20-196_SCBI1-010-2"
"114",34,-0.283100000000001,"20-196_UNDE1-3040-1"
"115",35,-0.358599999999999,"20-196_SCBI1-deep-3"
"116",36,-0.272266666666667,"20-196_SCBI1-3040-2"
"117",37,-0.391349999999999,"20-196_CPER1-deep-1"
"118",38,-0.219850000000001,"20-196_SCBI1-3040-1"
"119",39,-0.220849999999999,"20-196_SCBI1-1020-3"
"120",40,-0.56185,"standard_EV"
"121",1,0.212499999999999,"standard_EV"
"122",2,0.196299999999997,"standard_PZ"
"123",3,0.0969999999999978,"standard_UT2"
"124",4,0,"standard_EV"
"125",5,-6.7993,"20-196_NIWO1-C-2"
"126",6,NA,"20-196_SCBI1-D-1"
"127",7,-0.0760499999999986,"20-196_SCBI1-1020-2"
"128",8,-14.5913,"20-196_CPER1-D-1"
"129",9,-0.291799999999999,"20-196_CPER1-2030-2"
"130",10,-1.13905,"20-196_UNDE1-deep-2"
"131",11,-0.0745499999999986,"20-196_UNDE1-3040-2"
"132",12,-1.31905,"20-196_NIWO1-1020-2"
"133",13,-0.1523,"standard_EV"
"134",14,-0.0192999999999977,"20-196_NIWO1-3040-3"
"135",15,0.229949999999999,"20-196_CPER1-010-3"
"136",16,-0.667550000000002,"20-196_CPER1-010-2"
"137",17,-0.230800000000002,"20-196_CPER1-3040-1"
"138",18,-0.762050000000002,"20-196_CPER1-deep-3"
"139",19,0.0126999999999988,"20-196_NIWO1-2030-1"
"140",20,-0.364050000000002,"20-196_NIWO1-1020-1"
"141",21,-0.254050000000003,"20-196_UNDE1-2030-1"
"142",22,0.0409499999999987,"standard_EV"
"143",23,-0.47955,"20-196_CPER1-1020-3"
"144",24,0.021449999999998,"20-196_SCBI1-2030-3"
"145",25,-0.378550000000001,"20-196_CPER1-2030-3"
"146",26,-0.976050000000001,"20-196_NIWO1-3040-1"
"147",27,-4.8498,"20-196_CPER1-2030-1"
"148",28,-0.652800000000003,"20-196_NIWO1-2030-3"
"149",29,0.395700000000001,"20-196_UNDE1-1020-3"
"150",30,-1.5993,"20-196_UNDE1-2030-3"
"151",31,-0.0615500000000004,"standard_EV"
"152",32,-0.158049999999999,"20-196_NIWO1-1020-3"
"153",33,NA,"20-196_NIWO1-deep-3"
"154",34,-0.266300000000001,"standard_EV"
"155",1,0.537899999999997,"standard_EV"
"156",2,0.347999999999999,"standard_PZ"
"157",3,0.100099999999998,"standard_UT2"
"158",4,0,"standard_EV"
"159",5,0.11665,"20-196_WOOD1-deep-3"
"160",6,-0.0153500000000015,"20-196_WOOD1-2030-2"
"161",7,NA,"20-196_SCBI1-C-3"
"162",8,-0.912849999999999,"20-196_UNDE1-3040-3"
"163",9,-0.59835,"20-196_SCBI1-D-4"
"164",10,NA,"20-196_WOOD1-3040-3"
"165",11,-1.7106,"20-196_UNDE1-deep-3"
"166",12,NA,"20-196_WOOD1-2030-3"
"167",13,-1.50535,"standard_EV"
"168",14,NA,"20-196_WOOD1-deep-2"
"169",15,NA,"20-196_WOOD1-3040-2"
"170",16,-23.7541,"20-196_SCBI1-D-5"
"171",17,-1.2021,"20-196_WOOD1-010-2"
"172",18,-1.9981,"20-196_WOOD1-5060-3"
"173",19,-12.4431,"20-196_WOOD1-3040-1"
"174",20,-7.2596,"20-196_SCBI1-C-2"
"175",21,NA,"20-196_WOOD1-1020-3"
"176",22,-1.25885,"standard_EV"
"177",23,NA,"20-196_WOOD1-deep-1"
"178",24,NA,"20-196_WOOD1-010-1"
"179",25,NA,"20-196_WOOD1-010-3"
"180",26,NA,"20-196_WOOD1-6070-1"
"181",27,-2.08576666666667,"20-196_WOOD1-2030-1"
"182",28,-1.7671,"20-196_WOOD1-6070-2"
"183",29,NA,"20-196_WOOD1-1020-2"
"184",30,NA,"20-196_WOOD1-1020-1"
"185",31,-2.0026,"standard_EV"
"186",32,-0.771100000000001,"20-196_SCBI1-B-1"
"187",33,-16.9981,"20-196_SCBI1-A-4"
"188",34,-2.6626,"20-196_SCBI1-B-3"
"189",35,-1.2706,"standard_EV"
"190",1,1.4031,"standard_EV"
"191",2,0.643700000000003,"standard_PZ"
"192",3,0.352700000000002,"standard_UT2"
"193",4,0,"standard_EV"
"194",5,-0.0952500000000001,"20-196_SCBI1-C-3"
"195",6,4.33125,"20-196_UNDE1-3040-3"
"196",7,-0.392499999999998,"20-196_WOOD1-3040-3"
"197",8,-0.331499999999998,"20-196_UNDE1-deep-3"
"198",9,-0.276249999999997,"20-196_WOOD1-2030-3"
"199",10,-0.414999999999999,"20-196_WOOD1-deep-2"
"200",11,-0.642749999999999,"20-196_WOOD1-3040-2"
"201",12,-22.526,"20-196_SCBI1-D-5"
"202",13,0.239750000000001,"standard_EV"
"203",14,-0.519749999999998,"20-196_WOOD1-1020-3"
"204",15,-0.576750000000001,"20-196_WOOD1-deep-1"
"205",16,-0.4405,"20-196_WOOD1-010-1"
"206",17,-0.354999999999997,"20-196_WOOD1-010-3"
"207",18,-0.626999999999999,"20-196_WOOD1-6070-1"
"208",19,-0.63025,"20-196_WOOD1-2030-1"
"209",20,-0.631499999999999,"20-196_WOOD1-1020-2"
"210",21,-0.547750000000001,"20-196_WOOD1-1020-1"
"211",22,-0.230249999999998,"standard_EV"
"212",23,0.0477500000000006,"Precipitation_SLCP-22-001"
"213",24,-0.226999999999997,"21-252_57"
"214",25,-1.40275,"21-252_58"
"215",26,-1.33725,"21-252_59"
"216",27,-1.221,"21-252_60"
"217",28,-0.720749999999999,"21-252_61"
"218",29,-0.883249999999997,"21-252_62"
"219",30,-0.697499999999998,"21-252_63"
"220",31,-0.126999999999999,"standard_EV"
"221",32,-0.974999999999998,"21-252_64"
"222",33,-1.722,"21-252_65"
"223",34,-1.63575,"21-252_66"
"224",35,-2.66575,"21-252_67"
"225",36,-0.788499999999999,"21-252_68"
"226",37,-1.594,"21-252_69"
"227",38,-1.39375,"21-252_70"
"228",39,-0.771999999999998,"21-252_71"
"229",40,-0.520249999999997,"standard_EV"
"230",41,-1.7915,"21-252_72"
"231",42,-1.9795,"21-252_73"
"232",43,-1.04425,"21-252_74"
"233",44,-0.920749999999998,"21-252_75"
"234",45,-2.1385,"21-252_76"
"235",46,-1.0495,"21-252_77"
"236",47,-5.5295,"21-252_78"
"237",48,-1.65675,"21-252_79"
"238",49,-0.469749999999998,"standard_EV"
"239",1,-0.616311111111111,"standard_EV"
"240",2,-0.554,"standard_PZ"
"241",3,0.3725,"standard_UT2"
"242",4,0,"standard_EV"
"243",5,-17.2857,"20-196_UNDE1-A-5"
"244",6,-1.49245,"20-196_UNDE1-C-4"
"245",7,-5.2167,"20-196_UNDE1-E-4"
"246",8,-7.5507,"20-196_CPER1-C-2"
"247",9,-3.66045,"20-196_UNDE1-E-1"
"248",10,-15.14845,"20-196_UNDE1-A-2"
"249",11,-14.63745,"20-196_UNDE1-C-3"
"250",12,-24.03045,"20-196_UNDE1-B-3"
"251",13,-0.46145,"standard_EV"
"252",14,-3.73095,"20-196_UNDE1-E-3"
"253",15,-30.2767,"20-196_UNDE1-B-1"
"254",16,-17.35945,"20-196_UNDE1-B-4"
"255",17,-6.81545,"20-196_UNDE1-D-1"
"256",18,-15.23445,"20-196_UNDE1-C-5"
"257",19,-3.9667,"20-196_UNDE1-D-3"
"258",20,-5.8017,"20-196_UNDE1-D-5"
"259",21,-8.02695,"20-196_UNDE1-A-1"
"260",22,-0.15445,"standard_EV"
"261",23,-4.40895,"20-196_UNDE1-D-2"
"262",24,-1.5577,"20-196_UNDE1-D-4"
"263",25,-15.8817,"20-196_UNDE1-A-3"
"264",26,-4.2192,"20-196_UNDE1-E-5"
"265",27,-21.7847,"20-196_UNDE1-B-5"
"266",28,-28.7217,"20-196_UNDE1-B-2"
"267",29,-37.8437,"20-196_NIWO1-A-4"
"268",30,-7.6637,"20-196_WOOD1-C-2"
"269",31,-0.28245,"standard_EV"
"270",1,-1.60153333333333,"standard_EV"
"271",2,-0.4789,"standard_PZ"
"272",3,0.2239,"standard_UT2"
"273",4,0,"standard_EV"
"274",5,-1.71895,"20-196_CPER1-E-4"
"275",6,-0.7272,"20-196_CPER1-A-1"
"276",7,-26.9012,"20-196_WOOD1-D-1"
"277",8,-0.6527,"20-196_NIWO1-B-4"
"278",9,-36.21195,"20-196_CPER1-D-2"
"279",10,-22.40195,"20-196_UNDE1-A-4"
"280",11,-0.9812,"20-196_CPER1-B-1"
"281",12,-5.42645,"20-196_CPER1-E-2"
"282",13,0.1678,"standard_EV"
"283",14,-30.4652,"20-196_WOOD1-A-2"
"284",15,-0.8032,"20-196_WOOD1-E-4"
"285",16,-20.4222,"20-196_WOOD1-A-1"
"286",17,-0.3887,"20-196_NIWO1-2030-2"
"287",18,-0.0299499999999999,"20-196_NIWO1-010-1"
"288",19,0.0152999999999999,"20-196_CPER1-3040-3"
"289",20,-0.0584500000000001,"20-196_NIWO1-010-3"
"290",21,0.04155,"20-196_CPER1-3040-2"
"291",22,0.06955,"standard_EV"
"292",23,-0.3587,"20-196_NIWO1-010-2"
"293",24,-0.0217000000000001,"20-196_CPER1-deep-2"
"294",25,-0.23795,"20-196_CPER1-1020-1"
"295",26,-0.30745,"20-196_CPER1-1020-2"
"296",27,-0.6442,"20-196_CPER-010-1"
"297",28,-0.3107,"20-196_WOOD1-E-3"
"298",29,-0.1102,"standard_EV"
"299",1,-0.2443,"standard_EV"
"300",2,-0.4676,"standard_PZ"
"301",3,0.1115,"standard_UT2"
"302",4,0,"standard_EV"
"303",5,-1.53625,"20-196_CPER1-E-4"
"304",6,NA,"20-196_CPER1-A-1"
"305",7,-26.0145,"20-196_WOOD1-D-1"
"306",8,-0.6275,"20-196_NIWO1-B-4"
"307",9,-41.0545,"20-196_CPER1-D-2"
"308",10,-20.35325,"20-196_UNDE1-A-4"
"309",11,NA,"20-196_CPER1-B-1"
"310",12,-5.651,"20-196_CPER1-E-2"
"311",13,0.1635,"standard_EV"
"312",14,-27.809,"20-196_WOOD1-A-2"
"313",15,-0.49325,"20-196_WOOD1-E-4"
"314",16,-18.822,"20-196_WOOD1-A-1"
"315",17,-0.5515,"20-196_NIWO1-2030-2"
"316",18,0.2005,"20-196_NIWO1-010-1"
"317",19,-0.26525,"20-196_CPER1-3040-3"
"318",20,0.31775,"20-196_NIWO1-010-3"
"319",21,-0.156,"20-196_CPER1-3040-2"
"320",22,0.163833333333334,"standard_EV"
"321",23,-0.0367499999999996,"20-196_NIWO1-010-2"
"322",24,-0.55075,"20-196_CPER1-deep-2"
"323",25,-0.345166666666667,"20-196_CPER1-1020-1"
"324",26,-0.27125,"20-196_CPER1-1020-2"
"325",27,NA,"20-196_CPER-010-1"
"326",28,NA,"20-196_WOOD1-E-3"
"327",29,0.0595000000000003,"standard_EV"
"328",1,-0.7268,"standard_EV"
"329",2,-0.748,"standard_PZ"
"330",3,0.04,"standard_UT2"
"331",4,0,"standard_EV"
"332",5,NA,"20-196_CPER1-E-4"
"333",6,NA,"20-196_CPER1-A-1"
"334",7,-23.528,"20-196_WOOD1-D-1"
"335",8,-0.787,"20-196_NIWO1-B-4"
"336",9,-32.7575,"20-196_CPER1-D-2"
"337",10,-8.6255,"20-196_UNDE1-A-4"
"338",11,NA,"20-196_CPER1-B-1"
"339",12,-4.69425,"20-196_CPER1-E-2"
"340",13,-0.30025,"standard_EV"
"341",14,-22.2805,"20-196_WOOD1-A-2"
"342",15,-1.134,"20-196_WOOD1-E-4"
"343",16,NA,"20-196_WOOD1-A-1"
"344",17,-0.43325,"20-196_NIWO1-2030-2"
"345",18,-0.538,"20-196_NIWO1-010-1"
"346",19,-0.5805,"20-196_CPER1-3040-3"
"347",20,NA,"20-196_NIWO1-010-3"
"348",21,NA,"20-196_CPER1-3040-2"
"349",22,-0.62675,"standard_EV"
"350",23,NA,"20-196_NIWO1-010-2"
"351",24,NA,"20-196_CPER1-deep-2"
"352",25,NA,"20-196_CPER1-1020-1"
"353",26,NA,"20-196_CPER1-1020-2"
"354",27,NA,"20-196_CPER-010-1"
"355",28,NA,"20-196_WOOD1-E-3"
"356",29,NA,"standard_EV"
"357",1,-0.282,"standard_EV"
"358",2,-0.6821,"standard_PZ"
"359",3,0.3231,"standard_UT2"
"360",4,0,"standard_EV"
"361",5,0.0745,"21-088_CLS114"
"362",6,0.18175,"21-088_CP3A14"
"363",7,0.331,"21-088_WL2B14"
"364",8,0.143,"21-088_LP1A14"
"365",9,0.10575,"21-088_NNBS14"
"366",10,0.38675,"21-088_RPS214"
"367",11,0.0975000000000001,"21-088_ERBS14"
"368",12,0.00950000000000006,"21-088_CKSP14"
"369",13,0.0427500000000003,"standard_EV"
"370",14,-0.0219999999999998,"21-088_WL4A14"
"371",15,0.4765,"21-088_WL1A14"
"372",16,0.0909999999999997,"21-088_RPRW14"
"373",17,0.44625,"21-088_NBKS14"
"374",18,0.3675,"21-088_LRPS14"
"375",19,0.1445,"21-088_GCP108"
"376",20,0.11325,"21-088_KGSP14"
"377",21,0.339,"21-088_KP1A14"
"378",22,0.1505,"standard_EV"
"379",23,0.44925,"21-088_WLS514"
"380",24,0.00200000000000022,"21-088_WP3B14"
"381",25,0.2055,"21-088_CLS314"
"382",26,0.4265,"21-088_SBKS14"
"383",27,0.4755,"21-088_STSP14"
"384",28,0.2875,"21-088_RPS314"
"385",29,0.50675,"21-088_WL3A14"
"386",30,0.19575,"21-088_WLSE14"
"387",31,0.3465,"standard_EV"
"388",32,0.4645,"21-088_GCP108"
"389",33,0.15075,"21-088_WLS614"
"390",34,0.0655000000000001,"21-088_RPSP14"
"391",35,0.2085,"21-088_WL2A14"
"392",36,0.37975,"21-088_CP1A14"
"393",37,0.29275,"21-088_KP1C14"
"394",38,0.23925,"21-088_LRPX14"
"395",39,0.843,"21-088_WP1B14"
"396",40,0.10425,"standard_EV"
"397",41,0.47675,"21-088_WL4B14"
"398",42,0.0735000000000001,"21-088_BVNS14"
"399",43,0.1185,"21-088_DP1A10"
"400",44,0.27425,"21-088_DP1B10"
"401",45,0.38925,"21-088_DCSC10"
"402",46,-0.0367500000000001,"21-088_WL BC120 210318"
"403",47,0.38175,"21-088_ST BC114 210317"
"404",48,0.06575,"21-088_WL BC115 210318"
"405",49,0.0772500000000003,"standard_EV"
"406",50,0.12825,"21-088_SP BC119 210318"
"407",51,0.0805000000000002,"21-088_WL BC116 210318"
"408",52,-0.0917499999999998,"21-088_WL BC117 210318"
"409",53,-0.85475,"20-196_SCBI1-D-1"
"410",54,-0.254,"20-196_SCBI1-1020-2"
"411",55,0.42475,"20-196_NIWO1-deep-3"
"412",56,0.131,"standard_EV"
"413",1,0.1662,"standard_EV"
"414",2,0.0924999999999976,"standard_PZ"
"415",3,0.197899999999997,"standard_UT2"
"416",4,0,"standard_EV"
"417",5,-0.252000000000002,"20-202_CPER2-2030-3"
"418",6,-0.0390000000000015,"20-202_CPER2-010-2"
"419",7,-1.04075,"20-202_CPER2-A-5"
"420",8,-1.59675,"20-202_CPER2-E-5"
"421",9,-11.91675,"20-202_CPER2-D-1"
"422",10,-1.2275,"20-202_CPER2-E-2"
"423",11,-6.164,"20-202_CPER2-D-3"
"424",12,-4.82275,"20-202_CPER2-C-4"
"425",13,NA,"standard_EV"
"426",14,-0.53275,"20-202_CPER2-C-1"
"427",15,-0.385750000000002,"20-202_CPER2-010-3"
"428",16,-48.0655,"20-202_CPER2-D-2"
"429",17,-9.0475,"20-202_CPER2-C-3"
"430",18,-0.2805,"20-202_CPER2-2030-1"
"431",19,-1.08625,"20-202_CPER2-E-4"
"432",20,-1.43025,"20-202_CPER2-A-1"
"433",21,NA,"20-202_CPER2-B-3"
"434",22,-0.764749999999999,"standard_EV"
"435",23,NA,"20-202_CPER2-B-1"
"436",24,NA,"20-202_CPER2-B-4"
"437",25,-1.137,"20-202_CPER2-A-4"
"438",26,NA,"20-202_CPER2-E-1"
"439",27,-0.440000000000001,"20-202_CPER2-D-5"
"440",28,-0.044000000000004,"20-202_CPER2-1020-3"
"441",29,-0.524250000000002,"20-202_CPER2-A-3"
"442",30,-0.79025,"20-202_CPER2-B-5"
"443",31,0.0804999999999971,"standard_EV"
"444",32,-0.154000000000003,"20-202_CPER2-3040-2"
"445",33,-1.66975,"20-202_CPER2-C-5"
"446",34,0.0177499999999995,"20-202_CPER2-1020-1"
"447",35,-0.40025,"20-202_CPER2-3040-1"
"448",36,-0.714000000000002,"20-202_CPER2-deep-2"
"449",37,-0.212500000000002,"20-202_CPER2-B-2"
"450",38,-0.158000000000001,"20-202_CPER2-1020-2"
"451",39,0.16375,"20-202_CPER2-010-1"
"452",40,NA,"standard_EV"
"453",41,NA,"20-202_CPER2-2030-2"
"454",42,NA,"20-202_CPER2-A-2"
"455",43,-1.2515,"20-202_CPER2-C-2"
"456",44,-8.12375,"20-202_CPER2-D-4"
"457",45,-1.91125,"20-202_CPER2-E-3"
"458",46,0.0804999999999971,"standard_EV"
"459",1,-2.421,"standard_EV"
"460",2,-1.2619,"standard_PZ"
"461",3,-0.0399999999999996,"standard_UT2"
"462",4,0,"standard_EV"
"463",5,-0.6575,"20-202_CPER2-C-1"
"464",6,-2.90325,"20-202_CPER2-B-3"
"465",7,-3.61825,"20-202_CPER2-B-1"
"466",8,-2.29875,"20-202_CPER2-B-4"
"467",9,-0.82775,"20-202_CPER2-A-4"
"468",10,-2.70825,"20-202_CPER2-E-1"
"469",11,-0.9755,"20-202_CPER2-D-5"
"470",12,0.0292499999999998,"20-202_CPER2-2030-2"
"471",13,-0.12975,"standard_EV"
"472",14,-1.30875,"20-202_CPER2-A-2"
"473",15,-0.00700000000000012,"20-202_CPER2-C-2"
"474",16,-0.26975,"standard_EV"
"475",1,-0.2201,"standard_EV"
"476",2,-0.6112,"standard_PZ"
"477",3,0.2496,"standard_UT2"
"478",4,0,"standard_EV"
"479",5,0.0364,"20-203_HARV1-D-3"
"480",6,-16.83735,"20-203_HARV1-E-5"
"481",7,-48.2886,"20-203_HARV1-A-5"
"482",8,-2.1221,"20-203_HARV1-B-3"
"483",9,-0.0865999999999998,"20-203_HARV1-deep-1"
"484",10,-0.21735,"20-203_HARV1-010-3"
"485",11,-0.01335,"20-203_HARV1-2030-2"
"486",12,0.0499000000000001,"20-203_HARV1-2030-3"
"487",13,-0.2646,"standard_EV"
"488",14,0.0314000000000001,"20-203_HARV1-3040-1"
"489",15,-1.49785,"20-203_HARV1-D-1"
"490",16,-0.0550999999999999,"20-203_HARV1-010-1"
"491",17,0.0719000000000003,"20-203_HARV1-3040-2"
"492",18,-29.8956,"20-203_HARV1-A-2"
"493",19,-28.88035,"20-203_HARV1-E-2"
"494",20,-35.21835,"20-203_HARV1-E-4"
"495",21,-6.8061,"20-203_HARV1-B-2"
"496",22,0.14565,"standard_EV"
"497",23,-50.3801,"20-203_HARV1-B-5"
"498",24,-10.60785,"20-203_HARV1-C-2"
"499",25,-2.42985,"20-203_HARV1-D-2"
"500",26,0.00390000000000024,"20-203_HARV1-1020-2"
"501",27,-1.5136,"20-203_HARV1-E-3"
"502",28,0.1099,"20-203_HARV1-1020-1"
"503",29,-25.97835,"20-203_HARV1-B-4"
"504",30,-0.17985,"20-203_HARV1-1020-3"
"505",31,0.0894000000000004,"standard_EV"
"506",32,-28.2016,"20-203_HARV1-E-1"
"507",33,-39.95635,"20-203_HARV1-A-4"
"508",34,-50.98885,"20-203_HARV1-A-3"
"509",35,-46.1391,"20-203_HARV1-A-1"
"510",36,-0.3861,"20-203_HARV1-deep-3"
"511",37,0.12565,"20-203_HARV1-deep-2"
"512",38,-0.0865999999999998,"20-203_HARV1-2030-1"
"513",39,0.0161500000000001,"20-203_HARV1-3040-3"
"514",40,-0.0683500000000001,"standard_EV"
"515",41,-12.0676,"20-203_HARV1-C-5"
"516",42,-4.5296,"20-203_HARV1-D-5"
"517",43,-7.1671,"20-203_HARV1-C-1"
"518",44,-3.52635,"20-203_HARV1-D-4"
"519",45,0.0359000000000003,"20-203_HARV1-010-2"
"520",46,-6.08935,"20-203_HARV1-C-3"
"521",47,-3.8766,"20-203_HARV1-C-4"
"522",48,-2.79685,"20-203_HARV1-B-1"
"523",49,0.3389,"standard_EV"
"524",1,-0.3633,"standard_EV"
"525",2,-0.652,"standard_PZ"
"526",3,0.3062,"standard_UT2"
"527",4,0,"standard_EV"
"528",5,-6.25565,"20-204_YELL1-A-1"
"529",6,-31.09115,"20-204_YELL1-C-4"
"530",7,-0.1679,"20-204_YELL1-B-5"
"531",8,-32.87665,"20-204_YELL1-C-3"
"532",9,-27.94665,"20-204_YELL1-A-2"
"533",10,-21.55265,"20-204_YELL1-B-1"
"534",11,-14.95815,"20-204_YELL1-A-4"
"535",12,-27.09715,"20-204_YELL1-A-5"
"536",13,0.0756000000000001,"standard_EV"
"537",14,-15.7564,"20-204_YELL1-B-4"
"538",15,-14.8904,"20-204_YELL1-B-3"
"539",16,-18.8229,"20-204_YELL1-A-3"
"540",17,-26.4649,"20-204_YELL1-B-2"
"541",18,0.4311,"20-204_YELL1-deep-3"
"542",19,-8.62215,"20-204_YELL1-E-4"
"543",20,-0.2054,"20-204_YELL1-010-1"
"544",21,-34.1689,"20-204_YELL1-C-5"
"545",22,0.0756000000000001,"standard_EV"
"546",23,-0.23615,"20-204_YELL1-010-3"
"547",24,-0.43215,"20-204_YELL1-D-4"
"548",25,-0.8714,"20-204_YELL1-E-2"
"549",26,-1.7634,"20-204_YELL1-D-2"
"550",27,-0.11565,"20-204_YELL1-010-2"
"551",28,-0.2844,"20-204_YELL1-E-3"
"552",29,-7.59365,"20-204_YELL1-C-2"
"553",30,0.4726,"20-204_YELL1-3040-3"
"554",31,-0.2044,"standard_EV"
"555",32,-21.6699,"20-204_YELL1-D-3"
"556",33,0.0246,"20-204_YELL1-1020-2"
"557",34,0.3931,"20-204_YELL1-2030-1"
"558",35,0.18835,"20-204_YELL1-1020-1"
