"Site_ID","Sample_ID","Bout","Species","d18O.bound","d2H.bound"
"CPER_tower","21-067_CPER3-C-2","CPER3","Eriogonum effusum",TRUE,TRUE
"CPER_tower","21-067_CPER3-C-3","CPER3","Eriogonum effusum",TRUE,TRUE
"CPER_tower","21-067_CPER3-C-4","CPER3","Eriogonum effusum",TRUE,TRUE
"CPER_tower","21-067_CPER3-C-5","CPER3","Eriogonum effusum",TRUE,TRUE
"CPER_tower","21-067_CPER3-D-1","CPER3","Artemisia frigida",TRUE,TRUE
"CPER_tower","21-067_CPER3-D-2","CPER3","Artemisia frigida",TRUE,FALSE
"CPER_tower","21-067_CPER3-D-3","CPER3","Artemisia frigida",TRUE,FALSE
"CPER_tower","21-067_CPER3-D-4","CPER3","Artemisia frigida",TRUE,TRUE
"CPER_tower","21-067_CPER3-E-2","CPER3","Elymus elymoides",TRUE,FALSE
"CPER_tower","21-067_CPER3-E-3","CPER3","Elymus elymoides",TRUE,TRUE
"CPER_tower","21-067_CPER3-E-4","CPER3","Elymus elymoides",TRUE,FALSE
"CPER_tower","21-067_CPER3-E-5","CPER3","Elymus elymoides",TRUE,FALSE
"NIWO_tower","21-068_NIWO3-A-3","NIWO3","Geum rossii",FALSE,TRUE
"NIWO_tower","21-068_NIWO3-A-4","NIWO3","Geum rossii",FALSE,TRUE
"NIWO_tower","21-068_NIWO3-B-2","NIWO3","Carex rupestris",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-B-3","NIWO3","Carex rupestris",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-B-4","NIWO3","Carex rupestris",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-B-5","NIWO3","Carex rupestris",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-C-1","NIWO3","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-C-2","NIWO3","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-C-3","NIWO3","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-C-4","NIWO3","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-C-5","NIWO3","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-D-1","NIWO3","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-D-2","NIWO3","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-D-3","NIWO3","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-D-4","NIWO3","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-D-5","NIWO3","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-E-1","NIWO3","Salix sp.",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-E-2","NIWO3","Salix sp.",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-E-3","NIWO3","Salix sp.",TRUE,TRUE
"NIWO_tower","21-068_NIWO3-E-5","NIWO3","Salix sp.",TRUE,TRUE
"HARV_tower","21-069_HARV2-A-1","HARV2","Quercus rubra",TRUE,TRUE
"HARV_tower","21-069_HARV2-A-2","HARV2","Quercus rubra",TRUE,TRUE
"HARV_tower","21-069_HARV2-A-4","HARV2","Quercus rubra",TRUE,TRUE
"HARV_tower","21-069_HARV2-A-5","HARV2","Quercus rubra",TRUE,TRUE
"HARV_tower","21-069_HARV2-C-1","HARV2","Pinus strobus",TRUE,TRUE
"HARV_tower","21-069_HARV2-C-3","HARV2","Pinus strobus",TRUE,TRUE
"HARV_tower","21-069_HARV2-C-4","HARV2","Pinus strobus",TRUE,TRUE
"HARV_tower","21-069_HARV2-C-5","HARV2","Pinus strobus",TRUE,TRUE
"HARV_tower","21-069_HARV2-D-1","HARV2","Tsuga canadensis",TRUE,TRUE
"HARV_tower","21-069_HARV2-D-2","HARV2","Tsuga canadensis",TRUE,TRUE
"HARV_tower","21-069_HARV2-D-3","HARV2","Tsuga canadensis",TRUE,TRUE
"HARV_tower","21-069_HARV2-D-4","HARV2","Tsuga canadensis",TRUE,TRUE
"HARV_tower","21-069_HARV2-D-5","HARV2","Tsuga canadensis",TRUE,TRUE
"HARV_tower","21-069_HARV2-E-3","HARV2","Betula alleghaniensis",TRUE,TRUE
"HARV_tower","21-069_HARV2-E-5","HARV2","Betula alleghaniensis",TRUE,TRUE
"WREF_tower","21-070_WREF1-A-1","WREF1","Pseudotsuga menziesii",TRUE,TRUE
"WREF_tower","21-070_WREF1-A-2","WREF1","Pseudotsuga menziesii",FALSE,TRUE
